(a) integrin-associated fak	p190rhogap
rac-dependent	irsp53
rac-gef	p85
rac1	actin
rac1	arf6
rac1	cooh
rac1	crkii
rac1	dbl homology (dh) domain of β-pix
rac1	e-cadherin
rac1	fas
rac1	fig. 2 e
rac1	full-length
rac1	gef
rac1	jnk
rac1	kalirin5
rac1	lrp-1
rac1	lrp-1 with receptor-associated protein
rac1	mef
rac1	n-cadherin
rac1	nox1
rac1	p21-activated kinase [pak]–interacting exchange factor
rac1	p38 (18–20)
rac1	p66shc
rac1	pak1
rac1	pak1δcrib
rac1	paxillin
rac1	pkc
rac1	rac1-gtpase
rac1	rac1-induced lamellipodia
rac1	rac1–β-pix
rac1	receptor-associated protein (rap)
rac1	rho-like gtpase
rac1	rhoa
rac1	rhogdi
rac1	sh3 domain
rac1	sra1
rac1	srf
rac1	syndecan-4
rac1	terminus
rac1	upar
rac1	vav
rac1	β-pix
rac1 (fig. 4)	kalirin5
rac1 complexes	pak1
rac1 peptide	rhogdi
rac1-gtp	arf6
rac1-gtpase	rac1
rac1-induced lamellipodia	rac1
rac1–β-pix	rac1
raf	2
raf	fn
raf	mapk
raf	mek1
raf	membrane
raf	pp2
raf	ras
raf	s298
raf	src
raf-1	gw5074
raf-mek-erk	4ebp1
raf-mek-erk	mtor
raf/	mcl-1
rap	gtp
rap1a	cam
rap1a	kras
rap1a	membrane
rapamycin	c-src
rapamycin	egfr
rapamycin	erk1/2
rapamycin	mtor
rapamycin	mtor kinase
rapamycin	mtorc2
rapamycin	no
rapamycin	p70s6k
rapamycin	pkm2
rapamycin	rsk1
rapamycin	rsks
rapamycin	s6
rapamycin	s6k1
rar	aldh6
rar	cyp1a1
rar subtypes	ap1
rarb	cyp1a1
rars (rarα	vn/14-1
rarα	vn/14-1
ras	egfr
ras	mapk
ras	p110γ
ras	p27kip1
ras	p66shc
ras	raf
ras	resveratrol
ras	several growth factor receptors
ras/	mcl-1
ras/mapk	egf
ras/mapk	gab1
rasgap	dok members
rasgap	dok-4/5 proteins
rasgap	dok3
rasgap	mapk
rasgap	p62dok
rasgap	p62dok 1481316
rasgap	p62dok mutant
rasgap (	juxtamembrane
rasgap (	tyrosine
rasgtp	p110
rassf1a	2
rassf1a	c-abl
rassf1a	ikk
rassf1a	lats
rassf1a	nfκb
rassf2	ikk complex
rassf5a	tnf-r1
rassf6	nfκb
rbx1	keap1
receptor kinase (erk)	mitogen-activated protein kinase (mapk)
receptor kinase (erk)	pfoa
receptor kinase (erk)	pfpea
receptor-associated protein (rap)	rac1
redox/	mehg
region	ahr
region	e-cadherin
region	foxm1
region	gata factor
region	grb2
region	h4
region	igg
region	sh3 domain
region	tfs
region	vcam-1
regions	arnt
regions	foxm1
regions	oct4
regions	p53
regions	srf
regions	topo-2α gene
regions	vdr
rela	bcl-xl
rela	nf-κb
rela	nf-κb elements
rela	noxa
rela	noxa promoter
rela	p73
rela	promoter
rela	α-actinin 4
rela/p65	resveratrol
related ligand ephrin-a5	rhoa
res	ar- and erα-associated pi3k
res	p85/pi3k
res	pi3k
res	ykl-40
residues	annexin-v–fitc
residues	epha receptors
residues	khk-a
residues	src
resveratrol	-7
resveratrol	a549
resveratrol	abcg2
resveratrol	akt
resveratrol	akt kinase
resveratrol	ampk
resveratrol	bcl-xl
resveratrol	bv-2
resveratrol	capase-3
resveratrol	capase-3/7
resveratrol	caspase-3
resveratrol	caspase-3/-7
resveratrol	caspase-9
resveratrol	chk2
resveratrol	cox-1
resveratrol	cox-2
resveratrol	creb
resveratrol	cyclin d1
resveratrol	erk
resveratrol	fkhr
resveratrol	fkhrl1
resveratrol	foxo proteins
resveratrol	foxo transcription factor
resveratrol	foxo transcription factors
resveratrol	foxo transcription factors [10]
resveratrol	foxo1
resveratrol	glut4
resveratrol	h2a.x
resveratrol	h460
resveratrol	hsf1
resveratrol	igf-1r
resveratrol	il-1β
resveratrol	inos
resveratrol	ir)-induced akt
resveratrol	ir)-induced ampk
resveratrol	iκb
resveratrol	jak2-stat3
resveratrol	jnk
resveratrol	k562
resveratrol	lps-induced cytokine mrna
resveratrol	mcf-7
resveratrol	mh7a
resveratrol	mmp-9
resveratrol	mpges-1
resveratrol	mtor
resveratrol	nad-dependent deacetylase sirtuin 1
resveratrol	nanog
resveratrol	nanog reporter
resveratrol	nf-κb
resveratrol	nicotinamide
resveratrol	no
resveratrol	nuclear factor-kappab-mediated cytokine
resveratrol	p21
resveratrol	p21/cip1
resveratrol	p53
resveratrol	pc-3
resveratrol	pge2
resveratrol	pi3k
resveratrol	pi3k/akt
resveratrol	pkm2
resveratrol	pma
resveratrol	prostaglandin e2
resveratrol	pten
resveratrol	ras
resveratrol	rela/p65
resveratrol	s6k1
resveratrol	sirt-1
resveratrol	sirt-1 deacetylase
resveratrol	sirt-runx2
resveratrol	sirt1
resveratrol	sp1
resveratrol	spheroids
resveratrol	tnf-α
resveratrol	trail
resveratrol	xiap
resveratrol	ykl-40
resveratrol	zeb-1
resveratrol-4′-o-sulfate	cox-1
retinoblastoma	cdk4
rev1	polη [45]
rev1 [20]	deoxycytidyl transferase
rfp-pkb	gfp-pdk1
rgs17	akt
rho	c3
rho	cdc42
rho	f-ea5
rho	fak
rho	gtp
rho	integrin-mediated
rho	p120ctn
rho	pyk2 kinase
rho	rac
rho	rhotekin
rho	shp-2
rho	src family kinase
rho (	fig. 2 c)
rho family gefs	kalirin
rho family gtp-binding proteins	membrane
rho gtpases	rhogdi
rho gtpases regulators	cadherin
rho kinase	ephrin-a5
rho kinase	pak1
rho mutant	prk2/pkn kinases
rho proteins	arf gtpase family
rho proteins	gtp
rho-gtp	shp-2
rho-like gtpase	rac1
rho-related	srf
rhoa	(g)
rhoa	actin
rhoa	actomyosin-dependent integrin
rhoa	arhgef10
rhoa	c3
rhoa	cdc42hs
rhoa	ephrin-a5
rhoa	fc fragment
rhoa	gef ect2
rhoa	jnk
rhoa	mlc1a
rhoa	myod
rhoa	p120
rhoa	p190rhogef
rhoa	pyk2
rhoa	rac1
rhoa	related ligand ephrin-a5
rhoa	rock kinase
rhoa	rockii
rhoa	shp-2
rhoa	srf
rhoa-gtp	fn-associated
rhoa-gtp	fn-stimulated
rhoa-specific	microtubules
rhoa-specific gef	microtubules
rhog	dh-ph motif
rhogdi	rac1
rhogdi	rac1 peptide
rhogdi	rho gtpases
rhogdi	terminus
rhotekin	rho
rhuepo	akt
rhuepo	erk
ribokinase	ribose
ribose	ribokinase
rictor	ato
rna 295 (ncrna00295)	non-protein coding rna 295
rna-binding protein hur	methoxyphenols
rnase a	pth-ago1-rna elution
                rnp complexes
rock	y-27632
rock	y27632
rock kinase	rhoa
rockii	gtp-rhoa
rockii	gtpγs-rhoa
rockii	rhoa
rockii	shp2
rockδ3	flag–cofilin
rockδ3	srf
rok	mlc
rok	myosin light chain (mlc) phosphatase
rok	pak2
ros	stat
ros	zinc
ros-dependent ang ii	zinc
rosiglitazone	cisplatin
rosiglitazone	nfκb
rosiglitazone	skov-3
rsk1	rapamycin
rsks	rapamycin
rsv	akt
rsv	ampk
rsv	pc3
rtk	sos-1
rtta	promoter
runx2	sirt-1
runx2	sirt-1 proteins
rxr	tr/
rxr heterodimers	vdre [re1 (4)]
s100a8/a9	s100a8/a9 ligands with their receptor rage
s100a8/a9	zn
s100a8/a9 ligands with their receptor rage	s100a8/a9
s118	e2
s16	cisplatin
s2 b	erk1
s218	fn
s264a enzyme	arf6
s264a mutant	arf6
s298	mapk
s298	pak1
s298	pp2
s298	raf
s4b	doxorubicin
s4b	etoposide
s6	nutlin-3a
s6	rapamycin
s6-s235/s236	s6k1ca protein level
s6k1	akt
s6k1	enos
s6k1	rapamycin
s6k1	resveratrol
s6k1	superoxide
s6k1ca protein level	s6-s235/s236
sb202190	hsp27
sb202190	imr32
sc-560	cox-1
sc-560	mpges-1
scn2.2	glu
sei1	cdk4
semicarbazide	mao
ser473	pp2a
serine	akt
serum growth factor	mapk
serum response factor and actin dynamics	lim kinase
sesn1	bap
set domain	histone
several growth factor receptors	ras
sf-1	atr
sfn	mercury
sfn	nrf2
sgk-1	nor1
sgk1	ca2+
sgk1	glucocorticoid receptor (nr3c1)
sgp130	il-6
sgp130	lif
sgp130	lps-induced
sgp130	stat3
sh-sy5y	cd
sh2 domain	bam32
sh2 domain	c-met
sh2 domain	c-src with y1057 of vegfr-2
sh2 domain	crk
sh2 domain	crkl
sh2 domain	grb2
sh2 domain	iqgap1
sh2 domain	tyrosine
sh2-src	vegfr-2
sh3 domain	rac1
sh3 domain	region
sh3 domain	terminus
sh3 domain fusion proteins	wasp
sh3 domain of β-pix	terminus
sh3 domains	dock180
sh3 domains	e3b1
sh3 domains	p66shcch2
sh3 domains	proline
sh3-containing adaptor molecule grb2	sos-1
sh3a	wasp
shc	bcr
shc	egfr
shc	grb2
shc proteins	erα
shc, and sos	grb2
ship1	fcγriib upon receptor
ship1	tyrosine-phosphorylated p62dok 81317
shp-2	egf
shp-2	egfr
shp-2	erk
shp-2	erk1/2
shp-2	erks
shp-2	fak
shp-2	gab1
shp-2	gab1y627f
shp-2	gab1–
shp-2	integrin
shp-2	mapk
shp-2	p120rasgap
shp-2	platelet-derived growth factor receptor
shp-2	rho
shp-2	rho-gtp
shp-2	rhoa
shp-2	shp-2c459s
shp-2 protein tyrosine phosphatase	egf
shp-2c459s	shp-2
shp2	egf receptor
shp2	egf-induced gab1
shp2	gab1
shp2	gab1f627
shp2	integrin
shp2	rockii
shp2 following egf	gab1
shs	5-ht2a, etb and eta receptors
shs	emax
si162	a549
si162	caco2
siah-1	figure 5b)
siah-1	siah-1 mrna (
siah-1 mrna (	siah-1
signal-regulated kinases 1/2 (erk 1	ici-182,780
siigf-ir	igf-irβ
sil-6r	stat3
sil-6r × lps	stat3
silica	egr-1
sirt-1	ncor
sirt-1	nicotinamide
sirt-1	ppar-γ
sirt-1	resveratrol
sirt-1	runx2
sirt-1 deacetylase	resveratrol
sirt-1 proteins	runx2
sirt-runx2	resveratrol
sirt1	il-6
sirt1	mmp-9
sirt1	resveratrol
sirt1	tnf-α
sirt3	p53
site	miz1
site	vdr
sites	ahr
sites	p53
six1	homeo-domain
sixpf	cp70
skbr-3	as2o3
skov-3	rosiglitazone
slc30a	ang ii
slug	puma
slug transcription factor	e-cadherin
smb domain	pai-1
smb domain	upar
smb domain of vn (fig. 2)	upar
smb domain of vn (fig. 3 b)	upar
smα actin	fn
sn50	nf-κb
sod	mtx
sod2	vegfr2
sodium arsenite	egfr
sos	proline
sos-1	e3b1
sos-1	e3b1–abi-1
sos-1	eps8
sos-1	eps8–abi1
sos-1	eps8–e3b1
sos-1	grb2
sos-1	gst-rac
sos-1	pak65
sos-1	rtk
sos-1	sh3-containing adaptor molecule grb2
sos-1dh−	eps8–abi1
sos1	[32p]gtp-gst-rac1
sos1	eps8
sos1	grb2
sos1	grb2 (fig. 2 b)
sos1	p66shc
sos1	sos1–eps8–e3b1
sos1–eps8–e3b1	sos1
sox2	oct4
sox8	bpa
sox8	hpte
sp1	dutpase
sp1	dutpase promoter
sp1	igf-1r
sp1	nfatc1
sp1	p21
sp1	p53
sp1	pgl3:sp1δ construct
sp1	promoters
sp1	resveratrol
sp1	tmp
sp1 and nf-y (ecat)	pkm gene
sp1, inducing hk-2 cell growth arrest	p21
sp1-family transcription factors	ykl-40
sp600125	jag1
spdef	il-13
spectrin repeats	arf6-gdp
spectrin αii	universally expressed membrane-associated cytoskeletal protein.31 full-length spectrin αii
spheroids	resveratrol
spk2	cdc2
spla2-iia	ifnγ
sr proteins	16h3 antibody
sr5	arf6
sr5	efa6
sr5 of kalirin	arf6
sr5-6	arf6
sra1	rac1
src	(ngef)
src	connexin 43
src	csk
src	e1057/ckr)
src	egfr
src	estrogen receptor
src	fak
src	fibrinogen
src	integrin αiibβ3
src	mek1
src	mir-126
src	p130cas
src	p190rhogap
src	p21 rho–gtpase
src	pp2
src	raf
src	residues
src	src family members
src	tyrosine-phosphorylated focal adhesion kinase (fak),*
src	αiibβ3
src family kinase	rho
src family members	fyn
src family members	src
src kinase	p130cas
src kinase	prk2
src kinases	vegfr-2
src sh3	p130cas
src tyr-418	csk
src- and receptor tyrosine kinases	tail
src-homology (sh)3 domain	fak
src-ptyr-529	anti-csk antibody
srf	actin
srf	cdc42
srf	cytochalasin d
srf	f-actin
srf	gtpases
srf	jasplakinolide
srf	limk
srf	limk t508v
srf	limk1
srf	mdia1
srf	rac1
srf	regions
srf	rho-related
srf	rhoa
srf	rockδ3
srf	wiskott-aldrich syndrome protein (wasp) family, and vasodilator-stimulated phosphoprotein (vasp)
ssea-3 antibodies	ssea-4 antibodies
ssea-4 antibodies	ssea-3 antibodies
stat	ros
stat (signal transducer and activator of transcription) -6	il-13
stat (signal transducer and activator of transcription) -6	il-4
stat (signal transducer and activator of transcription) -6	th2 cytokines
stat-3 ser727	epinephrine
stat-6	il-4
stat1	dasatinib
stat1	jsi-124
stat1	pd98059
stat1	u0216
stat1	wp1066
stat3	cyclin d1
stat3	dasatinib
stat3	egfr
stat3	elements
stat3	flll32
stat3	il-6
stat3	promoter
stat3	sgp130
stat3	sil-6r
stat3	sil-6r × lps
steroid	estrogen receptor
steroid	p85
stx2	husap
stx2	lps
stx2	thrombin-antithrombin iii (tat) complex
stx2	thrombin-antithrombin iii (tat) complex, fibrinogen and plasminogen activator inhibitor-1(pai-1)
subcellular distribution of beta catenin	17-beta estradiol
sulfasalazine	lps-induced
sulforaphane	bcl-2
sulforaphane	foxo transcription factors [10]
sulforaphane	nrf2
sulforaphane	telomerase
superoxide	s6k1
suv39h1 histone methyltransferase	dnmt1
swi/snf	brca1
swi/snf	swi/snf chromatin
swi/snf chromatin	swi/snf
syk	fibrinogen
syk	pyk2
syk	tat-ct
syk	tnf-
syk	αiibβ3
syndecan-4	rac1
t-butanol	arno
t308	phosphoinoisitide-dependent kinase 1
t505	cisplatin
tail	cadherin
tail	p120
tail	src- and receptor tyrosine kinases
tak1	jnk1
tak1	nf-κb
tak1	trpv1
talin	cisplatin
talin	nf-kb
tam	mir-34b
tam-bound	er
tamoxifen	brca1
tamoxifen	mir-34b
tat	acth
tat	chloroquine
tat-ct	syk
tat-ct	tnf
tat-peptides	pi3-kinase
tat/fl-gsn gelsolin	gelsolin antibody
taxol	β-tubulin
tcdd	ahr
tcdd	aryl hydrocarbon receptor
tcdd	aryl hydrocarbon receptor (ahr) complex
tcdd	cd14
tcdd	cox-2
tcdd	cyp1a1
tcdd	dioxin
tcdd	mpp2
tcf-4	promoter
tcf-4	β-catenin
tcf/	β-catenin
tcf4	c-myc
tcf4	cd2+
tcf4	chop
tcf4	cyclin d1
tcf4	promoter
tcf4	tcf4 binding to cyclin d1
tcf4	β-catenin
tcf4 binding to cyclin d1	tcf4
tcrp1	metallothionein1x
tcrp1	mt1x
telomerase	ddi
telomerase	dideoxyinosine
telomerase	egfr
telomerase	sulforaphane
temozolomide	atr
terminus	crk
terminus	glut1
terminus	igg
terminus	rac1
terminus	rhogdi
terminus	sh3 domain
terminus	sh3 domain of β-pix
terminus	tms 6 and 7
tf klf9	gr
tfap2α	p21
tfap2α	tp53
tfdp-1	cdc2
tfs	region
tg(fli1:negfp	vegfr tyrosine kinase inhibitor
tgf-β	p21cip1
tgr5 - two known bas receptors	udca
tgr5 receptor	tudca
tgr5 receptor	udca
th2 cytokines	stat (signal transducer and activator of transcription) -6
thapsigargin	grp-78
theaflavins	fas
their nuclear receptors: retinoic acid receptors	all-trans-retinoic acid
thiols	cysteine
thiols	pimonidazole
thioredoxin peroxidase b	calycosin
thrombin-antithrombin iii (tat) complex	stx2
thrombin-antithrombin iii (tat) complex, fibrinogen and plasminogen activator inhibitor-1(pai-1)	stx2
thromboxane	thromboxane a2 receptors (tp receptors
thromboxane a2 receptors (tp receptors	thromboxane
thromboxane a2 receptors (tp receptors	u46619
thymidylate synthase	5-fluorouracil
thymidylate synthase	5-fu
thymidylate synthase	ato
tiam1 (fig. 1 b)	cooh
tie-2	dok-2
tie-2 receptor	dok-4
tissue factor	factor viia–tissue factor
titin	cooh
titin	ig-like domains
titin	obscurin
titin	obscurin–
titin domains	α-actinin
titin ig domains	obscurin
tlr-4	lps
tlr3	poly(ic)
tmp	cox-2
tmp	sp1
tmp	tnf-α
tms 6 and 7	terminus
tnf	cd
tnf	cox2/ptgs2
tnf	edn1
tnf	il13ra2
tnf	il24
tnf	il8
tnf	pi3k
tnf	pyk2
tnf	tat-ct
tnf mrna	dex
tnf receptors	pi3k
tnf receptors	tnf-α
tnf-	syk
tnf-r1	rassf5a
tnf-related apoptosis-inducing ligand (trail	trail-r1/dr4
tnf-related apoptosis-inducing ligand (trail	trail-r2/dr5
tnf-α	caspase-1
tnf-α	erk1/2, p38 and jnk [39,40]
tnf-α	icam-1
tnf-α	icam-i
tnf-α	il-1β
tnf-α	il-6
tnf-α	map kinases
tnf-α	mapk
tnf-α	mmps
tnf-α	nf-κb
tnf-α	nfκb
tnf-α	p42/44 mapk
tnf-α	pb
tnf-α	pkc
tnf-α	resveratrol
tnf-α	sirt1
tnf-α	tmp
tnf-α	tnf receptors
tnfrs10b	crocidolite asbestos
tnfrs10b	hydrogen peroxide
tnfα	il-1β
tnfα	p,p’-ddt
tnk2	cdc42
tnk2	gtp
tnt	hemoglobin
to	c-terminal antibody
tobacco specific carcinogen bpde	egfr
topflash	cd2+
topo-2α	foxm1
topo-2α gene	promoter
topo-2α gene	regions
topoisomerase ii	doxorubicin
tp53	tfap2α
tpa	erks
tpx2	ccne1
tpx2	cyclin e1
tpx2 gene	ccne1
tpβ [37]	rab 11
tr/	rxr
traf	domains
trail	death receptors dr4
trail	fkhrl1
trail	p21
trail	p27
trail	resveratrol
trail	vegf
trail-r1/dr4	tnf-related apoptosis-inducing ligand (trail
trail-r2/dr5	tnf-related apoptosis-inducing ligand (trail
tram [toll-interleukin-1 receptor domain containing adaptor protein-inducing interferon-β (trif)-related adaptor molecule	trif
trans-resveratrol	amp
trans-resveratrol	erks
transcription factor	dnm2
tre17	rac
trif	tram [toll-interleukin-1 receptor domain containing adaptor protein-inducing interferon-β (trif)-related adaptor molecule
triglyceride	mcp-1-deficiency
triglycerides	hdl)
triglycerides	nps
trio sr1 (fig. 2)	arf6
trkc	egfr
trolox c	mpges-1
trp80	pkb
trpv1	tak1
ts mrna	ts protein
ts protein	ts mrna
ts protein	tyms mrna
ts protein	zebrafish
tsa	hdac1
tsc2	mtorc1
tuba	neural wiskott-aldrich syndrome protein
tuba	zo-1
tudca	tgr5 receptor
tumor necrosis factor receptor-associated factor (traf	cd40
tumour-suppressor let-7 family	kras
tyms mrna	ts protein
tyrosine	bam32
tyrosine	egf
tyrosine	epha receptors
tyrosine	ephb2 receptors
tyrosine	frg
tyrosine	gab1
tyrosine	l858r
tyrosine	rasgap (
tyrosine	sh2 domain
tyrosine	β-hch
tyrosine-phosphorylated focal adhesion kinase (fak),*	src
tyrosine-phosphorylated p62dok 81317	ship1
u0126	egr-1
u0126	mek
u0126	psa
u0216	stat1
u373mg	celecoxib
u46619	cd38
u46619	naadp
u46619	thromboxane a2 receptors (tp receptors
ub	cpdt
ubiquitin	e-cadherin
udca	tgr5 - two known bas receptors
udca	tgr5 receptor
ugt1a1	brca1
ugt1a9	brca1
universally expressed membrane-associated cytoskeletal protein.31 full-length spectrin αii	caspase-3.33
universally expressed membrane-associated cytoskeletal protein.31 full-length spectrin αii	spectrin αii
upa	murine
upa	upar
upa	vn
upa-induced erk1/2	upar–vn
upar	erk
upar	integrin
upar	integrin heterodimers
upar	lrp-1
upar	lrp-1 antisense rna
upar	p130cas
upar	p130cas sd
upar	p130cas–crk complex
upar	p130cas–crkii
upar	pai-1
upar	pro-upa
upar	rac
upar	rac1
upar	smb domain
upar	smb domain of vn (fig. 2)
upar	smb domain of vn (fig. 3 b)
upar	upa
upar	upar in cytoskeletal regulation
upar	upar with integrins has been proposed to alter integrin
upar	upar–integrin
upar	upar–vn
upar	vitronectin
upar	vn
upar	vn and integrins
upar domain	upar domain d1
upar domain d1	upar domain
upar in cytoskeletal regulation	upar
upar with integrins has been proposed to alter integrin	upar
upar-mediated cell binding to vn independently of integrin	integrin
upar–integrin	integrin
upar–integrin	upar
upar–vn	upa-induced erk1/2
upar–vn	upar
upa–upar	vitronectin
ups	at1r
utlm cells exposed to e2	mapk
v-src	crk ips
v-src	fak
v-src	fak ips
v-src	fn-stimulated
v-src	fn-stimulated p190rhogap
v-src	p190rhogap
v12cdc42	v12rac1c189s
v12rac1c189s	v12cdc42
vanadium	il8
vascular endothelial growth factor (vegf	pb
vav	cd19
vav	p110
vav	pkcθ
vav	pkcθ (fig. 5)
vav	pleckstrin-homology
vav	rac1
vav	vav targets
vav and rac	pkcθ
vav targets	vav
vav2	cooh
vcam-1	region
vcam-1/vla-4	cd44
vdr	p53
vdr	promoter
vdr	regions
vdr	site
vdre [re1 (4)]	rxr heterodimers
ve-821	chk1
vegf	arsenic
vegf	b-raf
vegf	hif-1
vegf	p21
vegf	p53aip1
vegf	trail
vegf	vegfr-2
vegf-c	vegfr-3
vegfr tyrosine kinase inhibitor	tg(fli1:negfp
vegfr-2	c-cbl
vegfr-2	c-src
vegfr-2	iqgap1
vegfr-2	sh2-src
vegfr-2	src kinases
vegfr-2	vegf
vegfr-3	akt
vegfr-3	cpx
vegfr-3	erk1/2
vegfr-3	vegf-c
vegfr-3 in lecs	cpx
vegfr-3-mediated erk1/2 pathway	cpx
vegfr2	sod2
vilip-1	adenylyl
vilip-1	camp
vilip-1	cyclic nucleotides
vitronectin	rac
vitronectin	upar
vitronectin	upa–upar
vn	pro-upa
vn	upa
vn	upar
vn and integrins	upar
vn/14-1	rars (rarα
vn/14-1	rarα
vorinostat	dna-dependent protein kinase
wasp	arp3 protein
wasp	cdc42
wasp	cdc42 guanosine triphosphatase
wasp	erm proteins
wasp	intersectin 2
wasp	intersectin 2 sh3c and sh3e domains
wasp	nck
wasp	sh3 domain fusion proteins
wasp	sh3a
wasp	wasp-binding protein
wasp-binding protein	wasp
wave1	nap1
wave2	actin-related protein (arp) 2
wave2	fig. 6 f)
wave2	irsp53
wave2	pip3
wave2	pip3 and rac
wave2	rac
wave2 complex	irsp53
wave2 complex	pip3
wave2 molecules	abi1
wild type akt (wt-akt)	akt
wip	cdc42 guanosine triphosphatase
wiskott-aldrich syndrome protein (wasp) family, and vasodilator-stimulated phosphoprotein (vasp)	srf
with	bam32 ph domain
wortmannin	bar
wp1066	stat1
wr-1065	cyclin-dependent kinase inhibitor
wr-1065	p53
x/xo	cd38
xbp1	6-hydroxydopamine
xenoestrogens	erk
xenoestrogens	estrogen
xenoestrogens	mer
xenoestrogens	mir-34b
xiap	resveratrol
xl880	axl kinase
y-27632	rock
y27632	rock
yap	δnp63
yap mrna	p73
yap promoter	δnp63
yap protein	ppxy motif proteins
yb-1	ape1
yb-1	mdr1
yb-1	p300
yc-1	mir-210
yes	yes src tyrosine kinase 56
yes src tyrosine kinase 56	yes
ykl-40	res
ykl-40	resveratrol
ykl-40	sp1-family transcription factors
yohimbine	[3h]thymidine
z9-z10	obscurin
zcyp19a1	atr
zea	mir-34b
zeb	c-peptide
zeb	nm c-peptide
zeb	α1-subunit mrna
zeb-1	resveratrol
zebrafish	ts protein
zebularine	bcl-2
zebularine	hepg2
zebularine	p44
zebularine	p53
zebularine	pkr
zeranol	mir-34b
zinc	akt
zinc	ang ii
zinc	catalase
zinc	catalase protein
zinc	erk1/2
zinc	erk1/2 (fig. 1b)
zinc	human
zinc	nac
zinc	p21
zinc	ros
zinc	ros-dependent ang ii
zinc	znt10
zinc	znt3
zinc	znt3-gfp
zinc	znt3-myc
zinc	znt4-myc
zinc	znt5
zn	metallothionein 1 genes (
zn	s100a8/a9
znt10	zinc
znt10	znt3
znt3	catalase
znt3	zinc
znt3	znt10
znt3-gfp	zinc
znt3-myc	zinc
znt4-myc	zinc
znt5	zinc
zo-1	cadherin–catenin complex
zo-1	myosin
zo-1	tuba
zol	bxpc-3
µg/l) atr	aromatase
α- and β-catenins	e-cadherin
α-actinin	titin domains
α-actinin 4	rela
α-catenin	e-cadherin
α-catenin	p120
α-catenin	β-catenin
α-catenin	β-catenin and plakoglobin
α-nf	bap
α-p70s6k antibody	p85s6k
α1-subunit mrna	zeb
αiibβ3	csk
αiibβ3	fibrinogen
αiibβ3	src
αiibβ3	syk
β-actin	dmso
β-catenin	apc
β-catenin	cadherin
β-catenin	cd2+
β-catenin	cytoplasm
β-catenin	dhfr
β-catenin	e-cadherin
β-catenin	e-cadherin-catenin
β-catenin	gst-tcf4
β-catenin	lef-1
β-catenin	licl
β-catenin	microcystin-lr
β-catenin	p53
β-catenin	pge2
β-catenin	tcf-4
β-catenin	tcf/
β-catenin	tcf4
β-catenin	α-catenin
β-catenin	β-catenin/gsk3β
β-catenin and plakoglobin	α-catenin
β-catenin/gsk3β	β-catenin
β-hch	tyrosine
β-pix	cooh terminus of rac1
β-pix	rac1
β-tubulin	taxol
δ-catenin/nprap	juxtamembrane
δnp63	p63
δnp63	p73
δnp63	promoter
δnp63	yap
δnp63	yap promoter
